ma_danh_muc,ma_quyen
10,3
10,4
10,5
10,6
11,3
11,4
11,6
12,3
12,4
12,5
12,6
13,3
13,5
13,6
14,3
14,4
14,5
14,6
15,3
15,4
15,5
15,6
16,3
16,4
16,5
16,6
17,3
17,4
17,5
17,6
18,3
18,4
18,5
18,6
